origin,destination,capacity,traveltime,category
Metro_BaoanHighway,Metro_WestYouyiRoad,1515,1,Line 1
Metro_BaoanHighway,Metro_GongfuXincun,1515,2,Line 1
Metro_CaobaoRoad_L01,Metro_ShanghaiSouthRailwayStation_L01,1515,2,Line 1
Metro_CaobaoRoad_L01,Metro_ShanghaiIndoorStadium_L01,1515,1,Line 1
Metro_ChangshuRoad_L01,Metro_SouthShaanxiRoad_L01,1515,1,Line 1
Metro_ChangshuRoad_L01,Metro_HengshanRoad,1515,1,Line 1
Metro_FujinRoad,Metro_WestYouyiRoad,1515,1,Line 1
Metro_GongfuXincun,Metro_BaoanHighway,1515,2,Line 1
Metro_GongfuXincun,Metro_HulanRoad,1515,2,Line 1
Metro_GongkangRoad,Metro_PengpuXincun,1515,1,Line 1
Metro_GongkangRoad,Metro_TongheXincun,1515,1,Line 1
Metro_HanzhongRoad_L01,Metro_ShanghaiRailwayStation_L01,1515,1,Line 1
Metro_HanzhongRoad_L01,Metro_XinzhaRoad,1515,1,Line 1
Metro_HengshanRoad,Metro_Xujiahui_L01,1515,2,Line 1
Metro_HengshanRoad,Metro_ChangshuRoad_L01,1515,1,Line 1
Metro_HulanRoad,Metro_TongheXincun,1515,1,Line 1
Metro_HulanRoad,Metro_GongfuXincun,1515,2,Line 1
Metro_JinjiangAmusementPark,Metro_LianhuaRoad,1515,2,Line 1
Metro_JinjiangAmusementPark,Metro_ShanghaiSouthRailwayStation_L01,1515,2,Line 1
Metro_LianhuaRoad,Metro_Waihuanlu,1515,1,Line 1
Metro_LianhuaRoad,Metro_JinjiangAmusementPark,1515,2,Line 1
Metro_PengpuXincun,Metro_WenshuiRoad,1515,2,Line 1
Metro_PengpuXincun,Metro_GongkangRoad,1515,1,Line 1
Metro_PeoplesSquare_L01,Metro_SouthHuangpiRoad,1515,1,Line 1
Metro_PeoplesSquare_L01,Metro_XinzhaRoad,1515,1,Line 1
Metro_ShanghaiCircusCity,Metro_YanchangRoad,1515,1,Line 1
Metro_ShanghaiCircusCity,Metro_WenshuiRoad,1515,1,Line 1
Metro_ShanghaiIndoorStadium_L01,Metro_Xujiahui_L01,1515,1,Line 1
Metro_ShanghaiIndoorStadium_L01,Metro_CaobaoRoad_L01,1515,1,Line 1
Metro_ShanghaiRailwayStation_L01,Metro_ZhongshanNorthRoad,1515,1,Line 1
Metro_ShanghaiRailwayStation_L01,Metro_HanzhongRoad_L01,1515,1,Line 1
Metro_ShanghaiSouthRailwayStation_L01,Metro_JinjiangAmusementPark,1515,2,Line 1
Metro_ShanghaiSouthRailwayStation_L01,Metro_CaobaoRoad_L01,1515,2,Line 1
Metro_SouthHuangpiRoad,Metro_SouthShaanxiRoad_L01,1515,1,Line 1
Metro_SouthHuangpiRoad,Metro_PeoplesSquare_L01,1515,1,Line 1
Metro_SouthShaanxiRoad_L01,Metro_ChangshuRoad_L01,1515,1,Line 1
Metro_SouthShaanxiRoad_L01,Metro_SouthHuangpiRoad,1515,1,Line 1
Metro_TongheXincun,Metro_GongkangRoad,1515,1,Line 1
Metro_TongheXincun,Metro_HulanRoad,1515,1,Line 1
Metro_Waihuanlu,Metro_LianhuaRoad,1515,1,Line 1
Metro_Waihuanlu,Metro_Xinzhuang_L01,1515,1,Line 1
Metro_WenshuiRoad,Metro_ShanghaiCircusCity,1515,1,Line 1
Metro_WenshuiRoad,Metro_PengpuXincun,1515,2,Line 1
Metro_WestYouyiRoad,Metro_BaoanHighway,1515,1,Line 1
Metro_WestYouyiRoad,Metro_FujinRoad,1515,1,Line 1
Metro_XinzhaRoad,Metro_PeoplesSquare_L01,1515,1,Line 1
Metro_XinzhaRoad,Metro_HanzhongRoad_L01,1515,1,Line 1
Metro_Xinzhuang_L01,Metro_Waihuanlu,1515,1,Line 1
Metro_Xujiahui_L01,Metro_ShanghaiIndoorStadium_L01,1515,1,Line 1
Metro_Xujiahui_L01,Metro_HengshanRoad,1515,2,Line 1
Metro_YanchangRoad,Metro_ShanghaiCircusCity,1515,1,Line 1
Metro_YanchangRoad,Metro_ZhongshanNorthRoad,1515,1,Line 1
Metro_ZhongshanNorthRoad,Metro_YanchangRoad,1515,1,Line 1
Metro_ZhongshanNorthRoad,Metro_ShanghaiRailwayStation_L01,1515,1,Line 1
Metro_EastNanjingRoad_L10,Metro_TiantongRoad_L10,1006,1,Line 10
Metro_EastNanjingRoad_L10,Metro_YuyuanGarden,1006,1,Line 10
Metro_EastYingaoRoad,Metro_SanmenRoad,1006,1,Line 10
Metro_EastYingaoRoad,Metro_NewJiangwanCity,1006,1,Line 10
Metro_GuoquanRoad,Metro_Wujiaochang,1006,1,Line 10
Metro_GuoquanRoad,Metro_TongjiUniversity,1006,1,Line 10
Metro_HailunRoad_L10,Metro_NorthSichuanRoad,1006,1,Line 10
Metro_HailunRoad_L10,Metro_YoudianXincun,1006,1,Line 10
Metro_HangzhongRoad,Metro_ZitengRoad,1006,1,Line 10
Metro_HongqiaoRailwayStation_L10,Metro_HongqiaoTerminal2_L10,1006,1,Line 10
Metro_HongqiaoRoad_L10,Metro_SongyuanRoad_L10,1006,1,Line 10
Metro_HongqiaoRoad_L10,Metro_JiaotongUniversity_L10,1006,1,Line 10
Metro_HongqiaoTerminal1,Metro_ShanghaiZoo,1006,2,Line 10
Metro_HongqiaoTerminal1,Metro_HongqiaoTerminal2_L10,1006,2,Line 10
Metro_HongqiaoTerminal2_L10,Metro_HongqiaoTerminal1,1006,2,Line 10
Metro_HongqiaoTerminal2_L10,Metro_HongqiaoRailwayStation_L10,1006,1,Line 10
Metro_JiangwanStadium,Metro_Wujiaochang,1006,1,Line 10
Metro_JiangwanStadium,Metro_SanmenRoad,1006,1,Line 10
Metro_JiaotongUniversity_L10,Metro_ShanghaiLibrary,1006,1,Line 10
Metro_JiaotongUniversity_L10,Metro_HongqiaoRoad_L10,1006,1,Line 10
Metro_Laoximen_L10,Metro_Xintiandi_L10,1006,1,Line 10
Metro_Laoximen_L10,Metro_YuyuanGarden,1006,1,Line 10
Metro_LongbaiXincun,Metro_ZitengRoad,1006,1,Line 10
Metro_LongbaiXincun,Metro_LongxiRoad,1006,2,Line 10
Metro_LongxiRoad,Metro_ShanghaiZoo,1006,1,Line 10
Metro_LongxiRoad,Metro_ShuichengRoad,1006,1,Line 10
Metro_LongxiRoad,Metro_LongbaiXincun,1006,2,Line 10
Metro_NewJiangwanCity,Metro_EastYingaoRoad,1006,1,Line 10
Metro_NorthSichuanRoad,Metro_TiantongRoad_L10,1006,1,Line 10
Metro_NorthSichuanRoad,Metro_HailunRoad_L10,1006,1,Line 10
Metro_SanmenRoad,Metro_JiangwanStadium,1006,1,Line 10
Metro_SanmenRoad,Metro_EastYingaoRoad,1006,1,Line 10
Metro_ShanghaiLibrary,Metro_SouthShaanxiRoad_L10,1006,2,Line 10
Metro_ShanghaiLibrary,Metro_JiaotongUniversity_L10,1006,1,Line 10
Metro_ShanghaiZoo,Metro_HongqiaoTerminal1,1006,2,Line 10
Metro_ShanghaiZoo,Metro_LongxiRoad,1006,1,Line 10
Metro_ShuichengRoad,Metro_LongxiRoad,1006,1,Line 10
Metro_ShuichengRoad,Metro_YiliRoad,1006,1,Line 10
Metro_SipingRoad_L10,Metro_YoudianXincun,1006,1,Line 10
Metro_SipingRoad_L10,Metro_TongjiUniversity,1006,1,Line 10
Metro_SongyuanRoad_L10,Metro_HongqiaoRoad_L10,1006,1,Line 10
Metro_SongyuanRoad_L10,Metro_YiliRoad,1006,1,Line 10
Metro_SouthShaanxiRoad_L10,Metro_Xintiandi_L10,1006,1,Line 10
Metro_SouthShaanxiRoad_L10,Metro_ShanghaiLibrary,1006,2,Line 10
Metro_TiantongRoad_L10,Metro_NorthSichuanRoad,1006,1,Line 10
Metro_TiantongRoad_L10,Metro_EastNanjingRoad_L10,1006,1,Line 10
Metro_TongjiUniversity,Metro_SipingRoad_L10,1006,1,Line 10
Metro_TongjiUniversity,Metro_GuoquanRoad,1006,1,Line 10
Metro_Wujiaochang,Metro_JiangwanStadium,1006,1,Line 10
Metro_Wujiaochang,Metro_GuoquanRoad,1006,1,Line 10
Metro_Xintiandi_L10,Metro_SouthShaanxiRoad_L10,1006,1,Line 10
Metro_Xintiandi_L10,Metro_Laoximen_L10,1006,1,Line 10
Metro_YiliRoad,Metro_SongyuanRoad_L10,1006,1,Line 10
Metro_YiliRoad,Metro_ShuichengRoad,1006,1,Line 10
Metro_YoudianXincun,Metro_SipingRoad_L10,1006,1,Line 10
Metro_YoudianXincun,Metro_HailunRoad_L10,1006,1,Line 10
Metro_YuyuanGarden,Metro_Laoximen_L10,1006,1,Line 10
Metro_YuyuanGarden,Metro_EastNanjingRoad_L10,1006,1,Line 10
Metro_ZitengRoad,Metro_HangzhongRoad,1006,1,Line 10
