Station Name,Metro Line(s)
Xinzhuang,"Line 1, Line 5"
Waihuanlu,"Line 1"
Lianhua Road,"Line 1"
Jinjiang Amusement Park,"Line 1"
Shanghai South Railway Station,"Line 1, Line 3"
Caobao Road,"Line 1, Line 12"
Shanghai Indoor Stadium,"Line 1, Line 4"
Xujiahui,"Line 1, Line 9, Line 11"
Hengshan Road,"Line 1"
Changshu Road,"Line 1, Line 7"
South Shaanxi Road,"Line 1, Line 10, Line 12"
South Huangpi Road,"Line 1"
People's Square,"Line 1, Line 2, Line 8"
Xinzha Road,"Line 1"
Hanzhong Road,"Line 1, Line 12, Line 13"
Shanghai Railway Station,"Line 1, Line 3, Line 4"
Zhongshan North Road,"Line 1"
Yanchang Road,"Line 1"
Shanghai Circus City,"Line 1"
Wenshui Road,"Line 1"
Pengpu Xincun,"Line 1"
Gongkang Road,"Line 1"
Tonghe Xincun,"Line 1"
Hulan Road,"Line 1"
Gongfu Xincun,"Line 1"
Bao'an Highway,"Line 1"
West Youyi Road,"Line 1"
Fujin Road,"Line 1"
East Xujing,"Line 2"
Hongqiao Railway Station,"Line 2, Line 10"
Hongqiao Terminal 2,"Line 2, Line 10"
Hongqiao Terminal 1,"Line 10"
Songhong Road,"Line 2"
Beixinjing,"Line 2"
Weining Road,"Line 2"
Loushanguan Road,"Line 2"
Zhongshan Park,"Line 2, Line 3, Line 4"
Jiangsu Road,"Line 2, Line 11"
Jing'an Temple,"Line 2, Line 7"
West Nanjing Road,"Line 2, Line 12, Line 13"
East Nanjing Road,"Line 2, Line 10"
Lujiazui,"Line 2"
Dongchang Road,"Line 2"
Century Avenue,"Line 2, Line 4, Line 6, Line 9"
Shanghai Science and Technology Museum,"Line 2"
Century Park,"Line 2"
Longyang Road,"Line 2, Line 7, Line 16"
Zhangjiang Hi-Tech Park,"Line 2"
Jinke Road,"Line 2"
Guanglan Road,"Line 2"
Tangzhen,"Line 2"
Chuangxin Central Road,"Line 2"
East Huaxia Road,"Line 2"
Chuansha,"Line 2"
Lingkong Road,"Line 2"
Yuandong Avenue,"Line 2"
Haitian 3rd Road,"Line 2"
Pudong International Airport,"Line 2"
Shilong Road,"Line 3"
Longcao Road,"Line 3, Line 12"
Yishan Road,"Line 3, Line 4, Line 9"
Hongqiao Road,"Line 3, Line 4, Line 10"
West Yan'an Road,"Line 3, Line 4"
Jinshajiang Road,"Line 3, Line 4, Line 13"
Caoyang Road,"Line 3, Line 4, Line 11"
Zhenping Road,"Line 3, Line 4, Line 7"
Zhongtan Road,"Line 3, Line 4"
